import time: self [us] | cumulative | imported package
import time:       228 |        228 |                         alembic.autogenerate.compare.schema
import time:       230 |        230 |                         alembic.autogenerate.compare.server_defaults
import time:       146 |        146 |                         alembic.autogenerate.compare.tables
import time:       189 |        189 |                         alembic.autogenerate.compare.types
import time:      5425 |       5425 |                         alembic.runtime.plugins
import time:       314 |      13200 |                       alembic.autogenerate.compare
import time:       474 |        474 |                       alembic.autogenerate.render
import time:       497 |      14169 |                     alembic.autogenerate.api
import time:       331 |        331 |                     alembic.autogenerate.rewriter
import time:       411 |      14910 |                   alembic.autogenerate
import time:       670 |      32883 |                 alembic.ddl.postgresql
import time:       346 |        346 |                 alembic.ddl.sqlite
import time:       305 |      63988 |               alembic.ddl
import time:       786 |      64919 |             alembic.runtime.migration
import time:       778 |        778 |                   alembic.script.revision
import time:       268 |        268 |                     shlex
import time:       386 |        654 |                   alembic.script.write_hooks
import time:       388 |        388 |                     zoneinfo._tzpath
import time:       187 |        187 |                     zoneinfo._common
import time:      2284 |       2284 |                     _zoneinfo
import time:       378 |       3236 |                   zoneinfo
import time:       608 |       5274 |                 alembic.script.base
import time:       235 |       5508 |               alembic.script
import time:        13 |       5521 |             alembic.script.revision
import time:       593 |     270418 |           alembic.runtime.environment
import time:      1686 |     272104 |         alembic.context
import time:      1816 |       1816 |         alembic.op
import time:       419 |     274338 |       alembic
import time:       308 |     274645 |     alembic.migration
import time:       785 |        785 |                 socketserver
import time:       590 |        590 |                   http
import time:       379 |        379 |                     email._parseaddr
import time:       783 |       1161 |                   email.utils
import time:       406 |        406 |                         email.errors
import time:       389 |        389 |                             email.quoprimime
import time:       171 |        171 |                             email.base64mime
import time:       255 |        255 |                                 quopri
import time:       176 |        431 |                               email.encoders
import time:       236 |        666 |                             email.charset
import time:       607 |       1831 |                           email.header
import time:       500 |       2331 |                         email._policybase
import time:       467 |       3202 |                       email.feedparser
import time:       239 |       3441 |                     email.parser
import time:       293 |        293 |                       email._encoded_words
import time:       126 |        126 |                       email.iterators
import time:       380 |        798 |                     email.message
import time:       702 |       4940 |                   http.client
import time:        54 |         54 |                     _winapi
import time:        42 |         42 |                     winreg
import time:       396 |        492 |                   mimetypes
import time:       852 |       8033 |                 http.server
import time:       386 |        386 |                 werkzeug._internal
import time:       602 |        602 |                 werkzeug.exceptions
import time:       495 |        495 |                         werkzeug.datastructures.mixins
import time:      2065 |       2560 |                       werkzeug.datastructures.structures
import time:       708 |       3267 |                     werkzeug.datastructures.accept
import time:       313 |        313 |                     werkzeug.datastructures.auth
import time:       326 |        326 |                     werkzeug.datastructures.cache_control
import time:      1838 |       1838 |                     werkzeug.datastructures.csp
import time:      1395 |       1395 |                     werkzeug.datastructures.etag
import time:       402 |        402 |                       werkzeug.datastructures.headers
import time:       293 |        694 |                     werkzeug.datastructures.file_storage
import time:       352 |        352 |                     werkzeug.datastructures.range
import time:       648 |       8830 |                   werkzeug.datastructures
import time:       349 |        349 |                   werkzeug.sansio
import time:       405 |        405 |                   werkzeug.sansio.http
import time:       929 |      10511 |                 werkzeug.http
import time:       730 |        730 |                 werkzeug.urls
import time:       957 |      22002 |               werkzeug.serving
import time:      2101 |       2101 |                 werkzeug.sansio.multipart
import time:       527 |        527 |                   pkgutil
import time:      2569 |       2569 |                   unicodedata
import time:      1689 |       1689 |                       _hmac
import time:       270 |       1959 |                     hmac
import time:       234 |        234 |                     secrets
import time:       246 |       2437 |                   werkzeug.security
import time:       316 |        316 |                     werkzeug.sansio.utils
import time:       341 |        657 |                   werkzeug.wsgi
import time:       475 |       6663 |                 werkzeug.utils
import time:       269 |        269 |                       werkzeug.formparser
import time:       291 |        291 |                         werkzeug.user_agent
import time:       400 |        690 |                       werkzeug.sansio.request
import time:       404 |       1363 |                     werkzeug.wrappers.request
import time:       397 |        397 |                       werkzeug.sansio.response
import time:       440 |        836 |                     werkzeug.wrappers.response
import time:       324 |       2523 |                   werkzeug.wrappers
import time:        15 |       2537 |                 werkzeug.wrappers.request
import time:      1058 |      12357 |               werkzeug.test
import time:       328 |      34686 |             werkzeug
import time:       507 |      35192 |           werkzeug.local
import time:       205 |      35397 |         flask.globals
import time:       547 |        547 |         flask.json.provider
import time:       512 |      36455 |       flask.json
import time:       549 |        549 |             gettext
import time:       470 |        470 |               click._compat
import time:       312 |        312 |                 click.globals
import time:       320 |        320 |                 click.utils
import time:       438 |       1069 |               click.exceptions
import time:      1625 |       3163 |             click.types
import time:       310 |        310 |             click._utils
import time:       320 |        320 |               click.parser
import time:       287 |        607 |             click.formatting
import time:       320 |        320 |             click.termui
import time:      1262 |       6209 |           click.core
import time:       361 |        361 |           click.decorators
import time:       344 |       6913 |         click
import time:       357 |        357 |           werkzeug.routing.converters
import time:       483 |        483 |             difflib
import time:       340 |        823 |           werkzeug.routing.exceptions
import time:       360 |        360 |             pprint
import time:      1142 |       1142 |               werkzeug.routing.rules
import time:       660 |       1802 |             werkzeug.routing.matcher
import time:       471 |       2633 |           werkzeug.routing.map
import time:       330 |       4141 |         werkzeug.routing
import time:       191 |        191 |                   blinker._utilities
import time:       386 |        577 |                 blinker.base
import time:       322 |        898 |               blinker
import time:       184 |       1082 |             flask.signals
import time:       308 |       1390 |           flask.helpers
import time:       824 |       2213 |         flask.cli
import time:       513 |        513 |         flask.typing
import time:       493 |        493 |         flask.ctx
import time:        45 |         45 |           flask.sansio
import time:       274 |        274 |           flask.config
import time:       324 |        324 |           flask.logging
import time:       680 |        680 |               jinja2.bccache
import time:      1137 |       1137 |                   jinja2.utils
import time:      1062 |       2199 |                 jinja2.nodes
import time:       471 |        471 |                   jinja2.exceptions
import time:       215 |        215 |                     jinja2.visitor
import time:       504 |        718 |                   jinja2.idtracking
import time:       224 |        224 |                   jinja2.optimizer
import time:       960 |       2371 |                 jinja2.compiler
import time:       270 |        270 |                     jinja2.async_utils
import time:       525 |        525 |                     jinja2.runtime
import time:       879 |       1673 |                   jinja2.filters
import time:       308 |        308 |                   jinja2.tests
import time:       248 |       2228 |                 jinja2.defaults
import time:       648 |        648 |                   jinja2._identifier
import time:      1116 |       1763 |                 jinja2.lexer
import time:       760 |        760 |                 jinja2.parser
import time:       973 |      10292 |               jinja2.environment
import time:       651 |        651 |               jinja2.loaders
